date,log_price,sales_latent,sales
2021-06-01,2.995732273553991,15.528550906602632,12
2021-06-02,2.995732273553991,14.42827463228093,11
2021-06-03,2.995732273553991,13.562275069853783,13
2021-06-04,2.995732273553991,13.6911453248399,17
2021-06-05,2.995732273553991,14.529485752115965,10
2021-06-06,2.995732273553991,15.676651059884312,16
2021-06-07,2.995732273553991,16.244381356726667,14
2021-06-08,2.995732273553991,15.547325872347942,20
2021-06-09,2.995732273553991,14.277681267261217,15
2021-06-10,2.995732273553991,13.65495199645494,18
2021-06-11,2.995732273553991,13.935512015767106,15
2021-06-12,2.995732273553991,15.025269071475329,24
2021-06-13,2.995732273553991,16.600513650187796,17
2021-06-14,2.995732273553991,17.42221945900209,26
2021-06-15,2.995732273553991,16.929581041883353,20
2021-06-16,2.995732273553991,15.422314536659448,19
2021-06-17,2.995732273553991,14.232339446080744,13
2021-06-18,2.995732273553991,14.32311559348277,14
2021-06-19,2.995732273553991,15.872538404207754,13
2021-06-20,2.995732273553991,16.993225145269516,23
2021-06-21,2.995732273553991,17.877674997531223,20
2021-06-22,2.995732273553991,17.57589503544299,23
2021-06-23,2.995732273553991,16.360621172121046,10
2021-06-24,2.995732273553991,14.925871885077557,15
2021-06-25,2.995732273553991,15.158850981393648,16
2021-06-26,2.995732273553991,16.289309098160437,17
2021-06-27,2.995732273553991,17.59178408523075,21
2021-06-28,2.995732273553991,17.854278120659636,26
2021-06-29,2.995732273553991,17.35074849704637,19
2021-06-30,2.995732273553991,16.2328028666938,15
2021-07-01,2.995732273553991,15.12293359316123,14
2021-07-02,2.995732273553991,14.986660450210788,21
2021-07-03,2.995732273553991,16.045239808873077,12
2021-07-04,2.995732273553991,17.70803721973268,19
2021-07-05,2.995732273553991,18.46769902609407,19
2021-07-06,2.995732273553991,17.665673563499656,24
2021-07-07,2.995732273553991,16.043394706964328,14
2021-07-08,2.995732273553991,14.698501142287892,18
2021-07-09,2.995732273553991,14.937747971028754,16
2021-07-10,2.995732273553991,16.216566322323363,17
2021-07-11,2.995732273553991,17.793305815828603,15
2021-07-12,2.995732273553991,18.93525045466183,28
2021-07-13,2.995732273553991,18.448403844510434,24
2021-07-14,2.995732273553991,16.533515151303842,12
2021-07-15,2.995732273553991,15.48935038391799,17
2021-07-16,2.995732273553991,15.77457575047953,17
2021-07-17,2.995732273553991,17.298078603388333,23
2021-07-18,2.995732273553991,18.882545859019533,18
2021-07-19,2.995732273553991,20.122822785703313,18
2021-07-20,2.995732273553991,19.210398227716553,20
2021-07-21,2.995732273553991,17.75640635617727,12
2021-07-22,2.995732273553991,16.392969377085713,10
2021-07-23,2.995732273553991,16.541155362966155,17
2021-07-24,2.995732273553991,18.045276119749722,10
2021-07-25,2.995732273553991,19.79498292766256,23
2021-07-26,2.995732273553991,20.417206571553788,23
2021-07-27,2.995732273553991,19.438496253096584,20
2021-07-28,2.995732273553991,17.94073992310883,16
2021-07-29,2.995732273553991,16.491048332967452,17
2021-07-30,2.995732273553991,16.808806912213832,10
2021-07-31,2.995732273553991,17.593157996194947,23
2021-08-01,2.995732273553991,19.001415914761857,16
2021-08-02,2.995732273553991,19.308547780767174,23
2021-08-03,2.995732273553991,18.879564691001146,16
2021-08-04,2.995732273553991,16.643158998949826,31
2021-08-05,2.995732273553991,14.992982924909045,17
2021-08-06,2.995732273553991,15.164749720335017,18
2021-08-07,2.995732273553991,15.92545279801622,17
2021-08-08,2.995732273553991,17.152313182932684,11
2021-08-09,2.995732273553991,17.703463125431295,10
2021-08-10,2.995732273553991,17.070772092330408,16
2021-08-11,2.995732273553991,15.639790148863007,8
2021-08-12,2.995732273553991,14.556470169420436,12
2021-08-13,2.995732273553991,14.445983049843724,18
2021-08-14,2.995732273553991,15.316711722970483,10
