product_id,variant_id,date,quantity,unit_list_price,unit_discounted_price
340883406877,5035611652125,2018-02-11,1.0,16.99,16.99
352618446877,5162365812765,2018-03-06,1.0,16.99,16.99
340883406877,5035611586589,2018-03-25,1.0,16.99,16.99
340883406877,5035611619357,2018-04-24,1.0,16.99,16.99
340883406877,5035611684893,2018-05-10,1.0,16.99,16.99
340883406877,5035611652125,2018-05-11,1.0,16.99,16.99
1296037183578,12097609957466,2018-05-24,1.0,34.99,34.99
1296037183578,12097609891930,2018-05-31,1.0,34.99,34.99
1296037183578,12097609891930,2018-05-31,1.0,34.99,34.99
1296037183578,12097609924698,2018-06-05,1.0,34.99,34.99
1296037183578,12097609957466,2018-06-15,1.0,34.99,34.99
1296037183578,12097609891930,2018-06-17,1.0,34.99,34.99
1296037183578,12097609891930,2018-06-25,1.0,34.99,34.99
1296037183578,12097609957466,2018-06-28,1.0,34.99,34.99
1296037183578,12097609957466,2018-07-20,1.0,29.99,29.99
1296037183578,12097609924698,2018-07-21,1.0,29.99,29.99
1296037183578,12097609891930,2018-07-27,1.0,34.99,34.99
352618446877,5162365878301,2018-08-02,1.0,16.99,16.99
340883406877,5035611586589,2018-08-09,1.0,16.99,16.99
1296037183578,12097609891930,2018-08-11,1.0,34.99,34.99
1296037183578,12097609957466,2018-08-17,1.0,34.99,34.99
340883406877,5035611586589,2018-08-22,1.0,16.99,16.99
1296037183578,12097609990234,2018-09-04,1.0,34.99,34.99
1296037183578,12097609924698,2018-09-05,1.0,34.99,34.99
1296037183578,12097609891930,2018-09-11,1.0,34.99,34.99
1296037183578,12097609990234,2018-09-12,1.0,34.99,34.99
1296037183578,12097609924698,2018-09-23,1.0,34.99,34.99
1296037183578,12097609891930,2018-09-29,1.0,34.99,34.99
1296037183578,12097609990234,2018-10-02,1.0,34.99,34.99
352618446877,5162365878301,2018-10-04,1.0,12.99,12.99
1296037183578,12097609891930,2018-10-28,1.0,34.99,34.99
340883406877,5035611652125,2018-11-15,1.0,12.99,12.99
1494266576986,15419685601370,2018-11-19,1.0,34.99,34.99
1494266576986,15419685568602,2018-11-19,1.0,34.99,34.99
340883406877,5035611619357,2018-11-19,1.0,12.99,12.99
1494266576986,15419685568602,2018-11-19,1.0,34.99,34.99
1494266576986,15419685568602,2018-11-20,1.0,34.99,34.99
1494266576986,15419685535834,2018-11-20,1.0,34.99,34.99
1494266576986,15419685568602,2018-11-20,1.0,34.99,34.99
352618446877,5162365812765,2018-11-20,1.0,12.99,12.99
1494266576986,15419685601370,2018-11-20,1.0,34.99,34.99
1494266576986,15419685601370,2018-11-20,1.0,34.99,34.99
1494266576986,15419685568602,2018-11-21,2.0,34.99,34.99
340883406877,5035611586589,2018-11-22,1.0,12.99,12.99
1494266576986,15419685568602,2018-11-23,1.0,34.99,34.99
1494266576986,15419685568602,2018-11-23,1.0,34.99,34.99
1494266576986,15419685535834,2018-11-24,1.0,34.99,34.99
1296037183578,15419796455514,2018-11-25,1.0,34.99,34.99
340883406877,5035611652125,2018-11-25,1.0,12.99,12.99
1494266576986,15419685601370,2018-11-25,1.0,34.99,34.99
1494266576986,15419685535834,2018-11-25,1.0,34.99,34.99
1296037183578,12097609891930,2018-12-05,1.0,34.99,34.99
1296037183578,15419796455514,2018-12-06,1.0,34.99,34.99
1296037183578,15419796455514,2018-12-12,1.0,34.99,34.99
1296037183578,12097609990234,2018-12-16,1.0,34.99,34.99
1296037183578,12097609891930,2018-12-28,1.0,34.99,34.99
1296037183578,12097609957466,2018-12-29,1.0,34.99,34.99
1494266576986,15419685535834,2018-12-30,1.0,34.99,34.99
1494266576986,15420069511258,2019-01-09,1.0,34.99,34.99
1494266576986,15419685601370,2019-01-19,1.0,34.99,34.99
1494266576986,15419685601370,2019-01-19,1.0,34.99,34.99
1494266576986,15419685568602,2019-01-20,1.0,34.99,34.99
1494266576986,15419685601370,2019-01-20,1.0,34.99,34.99
1494266576986,15419685568602,2019-01-22,1.0,34.99,34.99
1494266576986,15419685601370,2019-01-23,1.0,34.99,34.99
1494266576986,15420069511258,2019-01-31,1.0,34.99,34.99
1494266576986,15420069511258,2019-02-02,1.0,34.99,34.99
1494266576986,15420069511258,2019-02-03,1.0,34.99,34.99
1494266576986,15419685568602,2019-02-04,1.0,34.99,34.99
1494266576986,15419685568602,2019-02-11,1.0,34.99,34.99
1296037183578,12097609957466,2019-02-17,1.0,34.99,34.99
1494266576986,15419685535834,2019-02-18,1.0,34.99,34.99
1494266576986,15420069511258,2019-02-27,1.0,34.99,34.99
1494266576986,15419685535834,2019-03-11,1.0,34.99,34.99
1296037183578,15419796455514,2019-03-17,1.0,34.99,34.99
